title,authors,eprint_number,arXiv_category,doi,citation_count,abstract
Searching for High Frequency Gravitational Waves with Phonons,"Yonatan Kahn, Jan Schütte-Engel, Tanner Trickle",2311.17147,hep-ph,,0,"The gravitational wave (GW) spectrum at frequencies above a kHz is a largely unexplored frontier. We show that detectors with sensitivity to single-phonon excitations in crystal targets can search for GWs with frequencies, $\mathrm{THz} \lesssim f \lesssim 100 \, \mathrm{THz}$, corresponding to the range of optical phonon energies, $\mathrm{meV} \lesssim \omega \lesssim 100 \, \mathrm{meV}$. Such detectors are already being built to search for light dark matter (DM), and therefore sensitivity to high-frequency GWs will be achieved as a byproduct. We begin by deriving the absorption rate of a general GW signal into single phonons. We then focus on carefully defining the detector sensitivity to monochromatic and chirp signals, and compute the detector sensitivity for many proposed light DM detection targets. The detector sensitivity is then compared to the signal strength of candidate high-frequency GW sources, e.g., superradiant annihilation and black hole inspiral, as well as other recent detector proposals in the $\mathrm{MHz} \lesssim f \lesssim 100 \, \mathrm{THz}$ frequency range. With a judicious choice of target materials, a collection of detectors could optimistically achieve sensitivities to monochromatic signals with $h_0 \sim 10^{-23} - 10^{-25}$ over $\mathrm{THz} \lesssim f \lesssim 100 \, \mathrm{THz}$."
Probing Reheating with Graviton Bremsstrahlung,"Nicolás Bernal, Simon Cléry, Yann Mambrini, Yong Xu",2311.12694,hep-ph,,0,"We investigate the stochastic gravitational wave (GW) spectrum resulting from graviton bremsstrahlung during inflationary reheating. We focus on an inflaton $\phi$ oscillating around a generic monomial potential $V(\phi) \propto \phi^n$, considering two different reheating scenarios: $i)$ inflaton decay and $ii)$ inflaton annihilation. We show that in the case of a quadratic potential, the scattering of the inflatons can give rise to larger GW amplitude than the decay channel. On the other hand, the GW spectrum exhibits distinct features and redshifts in each scenario, which makes it possible to distinguish them in the event of a discovery. Specifically, in the case of annihilation, the GW frequency can be shifted to values higher than those of decay, whereas the GW amplitude generated by annihilation turns out to be smaller than that in the decay case for $n \geq 4$, due to the different scaling of radiation during reheating. We also show that the differences in the GW spectrum become more prominent with increasing $n$. Finally, we highlight the potential of future high-frequency GW detectors to distinguish between the different reheating scenarios."
Quantum technologies for fundamental (HE) physics,D. Blas,2311.10187,hep-ph,,0,"In this brief contribution I will highlight some directions where the developments in the frontier of (quantum) metrology may be key for fundamental high energy physics (HEP). I will focus on the detection of dark matter and gravitational waves, and introduce ideas from atomic clocks and magnetometers, large atomic interferometers and detection of small fields in electromagnetic cavities. Far from being comprehensive, this contribution is an invitation to everyone in the HEP and quantum technologies communities to explore this fascinating topic."
Constraints on Non-Gaussian primordial curvature perturbation from the LIGO-Virgo-KAGRA third observing run,"Ryoto Inui, Santiago Jaraba, Sachiko Kuroyanagi, Shuichiro Yokoyama",2311.05423,astro-ph.CO,,1,"The scalar-induced gravitational waves (SIGW), arising from large amplitude primordial density fluctuations, provide a unique observational test for directly probing the epoch of inflation. In this work, we provide constraints on the SIGW background by taking into account the non-Gaussianity in the primordial density fluctuations, using the third observing run (O3) data of the LIGO-Virgo-KAGRA collaboration. We find that the non-Gaussianity gives a non-negligible effect on the GW energy density spectrum and starts to affect the analysis of the O3 data when the non-Gaussianity parameter is $F_{\rm NL} > 3.55$. Furthermore, the constraints exhibit asymptotic behavior given by $F_{\rm NL} A_g = \rm{const.}$ at large $F_{\rm NL}$ limit, where $A_g$ denotes the amplitude of the curvature perturbations. In the limit of large $F_{\rm NL}$, we placed a 95% confidence level upper limit $F_{\rm NL} A_g \leq 0.13, 0.09, 0.10$ at fixed scales of $10^{16}, 10^{16.5}, 10^{17}~{\rm Mpc}^{-1}$, respectively."
Search for high-frequency gravitational waves with Rydberg atoms,"Sugumi Kanno, Jiro Soda, Akira Taniguchi",2311.03890,gr-qc,,1,"We propose high-frequency gravitational wave (GW) detectors with Rydberg atoms. Rydberg atoms are sensitive detectors of electric fields. By setting up a constant magnetic field, a weak electric field is generated upon the arrival of GWs. The weak electric field signal is then detected by an electromagnetically induced transparency (EIT) in the system of the Rydberg atoms. Recently, the sensitivity of the Rydberg atoms is further improved by combining superheterodyne detection method. Hence, even the weak signal generated by the GWs turns out to be detectable. We calculate the amplitude of Rabi frequency of the Rydberg atoms induced by the GWs and show that the sensitivity of the Rydberg atoms becomes maximum when the size of the Rydberg atoms is close to the wavelength of GWs. As an example, we evaluate the sensitivity of the GW detector with Rubidium Rydberg atoms and find that the detector can probe GWs with a frequency 26.4 GHz and an amplitude approximately around $10^{20}$. We argue that the sensitivity can be further enhanced by exploiting entangled atoms."
Update on gravitational wave signals from post-inflationary phase transitions,"H. Kolesova, M. Laine",2311.03718,gr-qc,,0,"In view of recent interest in high-frequency detectors, broad features of gravitational wave signals from phase transitions taking place soon after inflation are summarized. The influence of the matter domination era that follows the slow-roll stage is quantified in terms of two equilibration rates. Turning to the highest-frequency part of the spectrum, we show how it is constrained by the fact that the bubble distance scale must exceed the mean free path."
Moduli Stabilization in String Theory,"Liam McAllister, Fernando Quevedo",2310.20559,hep-th,,2,"We give an overview of moduli stabilization in compactifications of string theory. We summarize current methods for construction and analysis of vacua with stabilized moduli, and we describe applications to cosmology and particle physics. This is a contribution to the Handbook of Quantum Gravity."
Gravitational Waves from Preheating in Inflation with Weyl Symmetry,"Wei-Yu Hu, Qing-Yang Wang, Yan-Qing Ma, Yong Tang",2311.00239,astro-ph.CO,,0,"Inflation with Weyl scaling symmetry provides a viable scenario that can generate both the nearly scaling invariant primordial density fluctuation and a dark matter candidate. Here we point out that, in additional to the primordial gravitational waves (GWs) from quantum fluctuations, the production of high-frequency GWs from preheating in such inflation models can provide an another probe of the inflationary dynamics. We conduct both linear analytical analysis and nonlinear numerical lattice simulation in a typical model. We find that significant stochastic GWs can be produced and the frequency band is located around $10^8$ Hz $\sim$ $10^9$ Hz, which might be probed by future resonance-cavity experiments."
Primordial black holes and their gravitational-wave signatures,Eleni Bagui,2310.19857,astro-ph.CO,,4,"In the recent years, primordial black holes (PBHs) have emerged as one of the most interesting and hotly debated topics in cosmology. Among other possibilities, PBHs could explain both some of the signals from binary black hole mergers observed in gravitational wave detectors and an important component of the dark matter in the Universe. Significant progress has been achieved both on the theory side and from the point of view of observations, including new models and more accurate calculations of PBH formation, evolution, clustering, merger rates, as well as new astrophysical and cosmological probes. In this work, we review, analyse and combine the latest developments in order to perform end-to-end calculations of the various gravitational wave signatures of PBHs. Different ways to distinguish PBHs from stellar black holes are emphasized. Finally, we discuss their detectability with LISA, the first planned gravitational-wave observatory in space."
Entanglement in Cosmology,"Konstantinos Boutivas, Dimitrios Katsinis, Georgios Pastras, Nikolaos Tetradis",2310.17208,gr-qc,,0,"We compute the evolution of the entanglement entropy for a massless field within a spherical region throughout the inflationary period and the subsequent era of radiation domination, starting from the Bunch-Davies vacuum. The transition of each mode towards a squeezed state upon horizon exit during inflation and the additional squeezing when radiation domination sets in enhance the entanglement entropy. Shortly after the transition to the radiation-dominated era, a volume term develops and becomes the leading contribution to the entropy at late times, as is common for systems lying in squeezed states. We estimate the magnitude of the entropy and discuss its interpretation in the light of the quantum to classical transition for modes exiting the horizon during inflation. Our results raise the possibility that the quantum nature of weakly interacting fields, such as gravitational waves resulting from tensor modes during inflation, may be detectable in today's universe. On the other hand, an observer with no knowledge of the degrees of freedom beyond the horizon would interpret the entropy as thermal. From this point of view, the reheating after inflation would be a result of quantum entanglement."
